time,ax,ay,az,aT
3.7900,-1.5220,0.1326,-0.0893,1.530
3.7990,-1.1579,0.5128,-1.3632,1.861
3.8180,-0.4962,0.7988,-2.4298,2.605
3.8200,-0.1111,0.5879,-2.3313,2.407
3.8290,-0.2595,-0.2435,-1.7542,1.790
3.8410,-0.5402,-1.1723,-1.9764,2.361
3.8500,-0.9684,-1.9811,-2.1974,3.113
3.8600,-1.2972,-2.5087,-2.4598,3.745
3.8710,-1.6048,-2.9362,-3.2148,4.640
3.8790,-2.0458,-3.0323,-3.4316,5.016
3.8890,-2.2187,-2.8758,-3.8455,5.290
3.8990,-2.2160,-2.7227,-4.5609,5.756
3.9210,-1.9357,-2.6514,-4.9464,5.937
3.9230,-1.6302,-2.5526,-5.4670,6.250
3.9290,-1.5643,-2.5983,-5.8369,6.578
3.9410,-1.1171,-2.6331,-6.2818,6.902
3.9490,-0.5222,-2.7339,-6.4678,7.041
3.9580,-0.2839,-2.5856,-6.5298,7.029
3.9690,0.0176,-2.3776,-6.5843,7.000
3.9780,0.2687,-2.0025,-6.1972,6.518
3.9880,0.2754,-1.3205,-4.5128,4.710
3.9980,-0.2021,-0.7676,-1.7945,1.962
4.0200,-1.7749,-0.9003,-0.0257,1.990
4.0210,-3.0758,-0.9171,2.0130,3.789
4.0280,-2.8971,-0.2751,3.6704,4.684
4.0390,-2.2861,0.4762,5.7714,6.226
4.0500,-1.2824,0.7829,7.7817,7.925
4.0590,-0.3373,0.5920,9.1512,9.177
4.0680,0.3456,0.3006,10.0561,10.067
4.0780,1.0775,0.3031,10.0327,10.095
4.0880,1.0275,0.3443,10.0179,10.076
4.0980,0.2647,0.2508,9.2129,9.220
4.1090,-0.6504,0.5122,7.9540,7.997
4.1340,-1.3631,0.7847,6.1555,6.353
4.1360,-1.9366,1.0427,4.7785,5.260
4.1380,-2.3634,1.2983,3.2757,4.243
4.1480,-2.8199,1.2286,1.7078,3.518
4.1580,-2.6788,0.9567,0.1794,2.850
4.1690,-2.3182,0.3893,-1.7903,2.955
4.1770,-1.7829,-0.2370,-3.4067,3.852
4.1880,-1.4155,-0.7920,-4.5695,4.849
4.1970,-0.9846,-1.2449,-5.2110,5.447
4.2070,-1.0212,-1.7547,-5.7213,6.071
4.2230,0.0060,-2.0239,-6.0588,6.388
4.2350,0.5233,-1.8424,-6.7593,7.025
4.2370,1.0011,-1.6544,-7.2115,7.466
4.2480,1.9788,-1.1929,-6.7053,7.092
4.2570,2.5133,-0.9430,-5.3648,5.999
4.2680,2.4899,-0.9206,-4.0443,4.838
4.2760,2.0601,-0.9505,-3.1919,3.916
4.2870,1.9962,-1.0042,-2.8421,3.615
4.2960,2.1034,-0.8628,-2.7117,3.539
4.3060,2.6751,-0.5665,-2.9317,4.009
4.3360,2.6719,-0.4157,-3.5477,4.461
4.3370,2.1163,-0.6690,-4.3174,4.855
4.3390,1.5643,-1.1007,-5.2742,5.610
4.3470,0.9065,-1.1616,-5.9071,6.088
4.3560,0.9367,-1.1267,-6.0361,6.211
4.3660,1.4513,-0.9198,-5.7075,5.960
4.3760,2.1144,-0.5729,-4.5739,5.071
4.3870,2.5538,-0.2087,-2.7892,3.787
4.3960,2.7162,0.1950,-1.5483,3.133
4.4060,2.5408,0.5181,-0.7765,2.707
4.4220,2.2757,0.7297,0.2787,2.406
4.4360,2.1644,1.0897,2.2721,3.322
4.4370,2.0470,1.6619,4.7376,5.422
4.4460,1.7459,2.2240,7.6161,8.124
4.4560,1.3154,2.3691,9.8983,10.263
4.4660,0.8309,2.0989,10.1276,10.376
4.4760,0.5867,1.3413,10.1248,10.230
4.4860,0.4205,0.5956,8.4182,8.450
4.4970,0.3047,0.1243,5.4977,5.508
4.5060,0.4619,-0.0508,3.6810,3.710
4.5260,0.5802,0.1377,2.4383,2.510
4.5270,0.5912,0.3781,2.0169,2.136
4.5400,0.3948,0.5097,2.2593,2.349
4.5470,0.2038,0.4309,2.7581,2.799
4.5550,-0.1759,0.4349,2.8227,2.861
4.5660,-0.4862,0.2601,2.3339,2.398
4.5750,-0.9565,-0.0679,1.8063,2.045
4.5850,-1.5454,-0.2438,0.6271,1.685
4.5940,-1.8793,-0.4890,0.2428,1.957
4.6050,-2.1424,-0.7609,0.1250,2.277
4.6190,-2.0283,-1.0559,-0.2484,2.300
4.6240,-1.6074,-1.0177,-0.5257,1.974
4.6890,-1.3289,-1.0652,-0.5655,1.795
