time,ax,ay,az,aT
2.3210,-0.3755,0.2252,-0.0871,0.446
2.3250,-0.5694,0.1284,-0.1774,0.610
2.3460,-0.6722,0.2646,-0.3490,0.802
2.3480,-0.6143,0.2679,-0.4023,0.782
2.3600,-0.3666,0.2699,-0.2146,0.503
2.3900,-0.1249,0.2227,-0.3376,0.423
2.3920,-0.4376,0.1859,-1.5406,1.612
2.3930,-0.2095,0.4898,-0.3860,0.658
2.3950,-0.6118,0.2608,-0.1137,0.675
2.4060,-0.7428,-0.0407,0.0213,0.744
2.4150,-0.6647,-0.0998,-0.1535,0.689
2.4250,-0.3687,0.0221,-0.2929,0.471
2.4470,-0.1788,0.1459,-0.0420,0.235
2.4480,-0.1184,0.1047,0.1688,0.231
2.4600,-0.1183,0.0363,0.1596,0.202
2.4890,0.0002,0.0671,0.2547,0.263
2.4910,-0.0483,-0.0094,0.2463,0.251
2.4920,-0.1315,-0.1057,-0.0037,0.169
2.4950,0.0044,-0.1145,-0.1583,0.195
2.5060,0.2256,-0.1148,-0.4057,0.478
2.5140,0.3522,-0.1726,-0.4151,0.571
2.5250,0.3477,-0.1837,-0.5211,0.653
2.5370,0.3660,-0.1583,-0.3443,0.527
2.5440,0.2708,-0.1684,-0.5940,0.674
2.5810,0.3637,-0.2711,-0.5894,0.744
2.5830,0.2735,-0.3212,-0.5375,0.683
2.5840,0.4909,-0.2883,-0.5047,0.761
2.5850,0.5686,-0.3994,-0.4979,0.855
2.6050,0.4972,-0.4370,-0.2464,0.706
2.6070,0.5028,-0.6405,-0.1043,0.821
2.6140,0.7367,-0.5049,-0.1773,0.911
2.6240,0.8527,-0.5071,-0.5139,1.117
2.6360,0.7258,-0.5085,-0.5946,1.067
2.6440,0.6365,-0.5363,-0.3626,0.908
2.6540,0.2420,-0.4575,-0.2008,0.555
2.6650,0.0981,-0.1653,-0.2369,0.305
2.6890,0.1236,-0.0940,-0.3255,0.361
2.6910,0.1214,0.0110,-0.6418,0.653
2.6970,0.0648,0.0293,-0.6682,0.672
2.7190,0.0906,-0.1259,-0.4522,0.478
2.7210,0.0021,-0.1601,-0.3818,0.414
2.7240,0.0017,-0.0698,-0.2982,0.306
2.7370,-0.0006,-0.0846,-0.2916,0.304
2.7430,0.0886,-0.0562,-0.2102,0.235
2.7530,0.0335,0.0414,-0.1905,0.198
2.7630,0.1006,0.0795,-0.1843,0.225
2.7780,0.0714,0.0933,-0.2068,0.238
2.8320,0.0118,0.0116,-0.1485,0.149
2.8340,0.0406,-0.0315,-0.3143,0.318
2.8360,0.0348,-0.0272,-0.4658,0.468
2.8370,0.1633,0.0361,-0.1998,0.261
2.8380,0.0298,0.0052,-0.1695,0.172
2.8390,0.2866,0.0304,-0.0585,0.294
2.8430,0.2742,0.0728,-0.0202,0.284
2.8530,0.4559,-0.1477,-0.1251,0.495
2.8630,0.3831,-0.2009,-0.0073,0.433
2.8790,0.1570,-0.1605,-0.0046,0.225
2.9340,0.2622,-0.2848,-0.1286,0.408
2.9360,-0.1197,-0.2352,-0.2338,0.353
2.9380,-0.0843,-0.0380,-0.2093,0.229
2.9390,0.1800,-0.0334,-0.2287,0.293
2.9420,0.2792,-0.1049,-0.4051,0.503
2.9440,0.6107,-0.2284,-1.9699,2.075
2.9460,0.9016,0.5534,-1.4682,1.810
2.9530,-0.7064,0.1444,-0.7640,1.051
2.9650,-1.9189,-0.3877,-0.0861,1.960
2.9920,-1.4210,-0.2573,0.1975,1.458
2.9930,-0.4737,0.1799,0.4991,0.711
2.9950,0.1143,-0.1176,0.2691,0.315
3.0050,-0.0856,-0.0568,-0.1082,0.149
3.0470,-0.1240,0.0414,-0.4331,0.452
3.0490,0.3420,0.2500,-0.6729,0.795
3.0510,0.4093,0.3416,-0.6193,0.817
3.0520,0.3713,0.2185,-0.7025,0.824
3.0530,0.2859,-0.0229,-0.8093,0.859
