time,ax,ay,az,aT
4.0330,-1.5329,-6.9252,-17.7122,19.080
4.0350,-1.5784,-8.1118,-17.8076,19.632
4.0370,-1.8914,-9.0494,-17.1033,19.442
4.0390,-1.7806,-9.1744,-15.3518,17.973
4.0410,-1.0494,-9.0374,-13.8821,16.598
4.0500,-1.4890,-9.1165,-12.6863,15.693
4.0590,-1.7060,-9.1292,-12.1343,15.281
4.0800,-2.3808,-8.7510,-12.7614,15.656
4.0830,-3.3388,-8.4325,-13.9766,16.661
4.0890,-3.3086,-8.3600,-14.8008,17.318
4.1350,-2.7980,-8.0801,-15.4960,17.699
4.1380,-2.4496,-7.9559,-15.0267,17.178
4.1400,-2.7703,-7.7826,-13.5786,15.894
4.1480,-0.8923,-7.9188,-12.5266,14.847
4.1510,-1.1495,-8.4085,-12.0380,14.729
4.1530,-1.3054,-8.2988,-10.4411,13.401
4.1600,-1.2147,-8.1021,-9.0534,12.210
4.1930,-0.9775,-7.7180,-7.5401,10.834
4.1970,-1.0109,-7.1732,-6.6226,9.815
4.1990,-1.2139,-6.8297,-6.5545,9.544
4.2020,-1.3727,-6.2304,-6.4738,9.089
4.2800,-1.4492,-5.6020,-6.2758,8.536
4.2820,-1.5143,-4.8762,-5.8734,7.782
4.2840,-1.5848,-3.9710,-5.4952,6.963
4.2880,-1.4968,-3.1983,-5.0319,6.147
4.2900,-1.4357,-2.6495,-4.5387,5.448
4.2920,-1.8875,-2.4934,-3.7997,4.921
4.2960,-2.4482,-2.6439,-2.9245,4.641
4.2990,-1.9760,-2.3779,-1.8447,3.600
4.3020,-1.0564,-1.4209,-0.0648,1.772
4.3040,-0.5673,0.0307,1.7137,1.805
4.3130,-0.2082,1.3904,3.6108,3.875
4.3200,0.7898,4.2292,7.5659,8.704
4.3290,-0.1036,6.4266,10.2282,12.080
4.3710,-1.8542,6.1940,10.1469,12.032
4.3730,-1.8866,4.8565,10.0775,11.345
4.3760,-0.8499,3.5762,10.0356,10.688
4.3770,1.1612,4.2574,10.0358,10.963
4.3790,0.6911,4.6479,10.0652,11.108
4.4580,0.8514,5.2055,10.1109,11.404
4.4610,2.1623,6.3837,10.1829,12.211
4.4630,1.9160,7.7897,10.2414,13.009
4.4650,0.7743,9.0487,10.3093,13.739
4.4670,0.2427,9.8300,10.4447,14.345
4.4680,-0.6637,9.3525,10.5689,14.128
4.4710,-1.2145,7.7734,10.6560,13.246
4.4730,-2.0606,5.8750,10.6953,12.375
4.4760,-2.3307,4.0936,10.6932,11.685
4.4780,-2.1575,2.3258,10.6614,11.123
4.4900,-1.7549,0.7517,10.6094,10.780
4.5090,-0.8844,-0.5353,10.5470,10.598
4.5110,0.1321,-1.4749,10.0246,10.133
4.5830,0.8785,-2.2203,7.7799,8.138
4.5860,1.0352,-2.8431,5.2469,6.057
4.5880,0.5768,-3.5907,2.1670,4.233
4.5900,0.1477,-4.4415,-1.7091,4.761
4.5930,-0.1269,-5.3775,-6.1401,8.163
4.5960,-0.3461,-6.1288,-10.4760,12.142
4.5990,-0.7196,-6.6377,-14.4896,15.954
4.6020,-0.8068,-6.9637,-17.0312,18.418
4.6060,0.0091,-7.4727,-19.2735,20.671
4.6080,-0.6552,-8.1697,-19.5702,21.217
4.6420,-0.7601,-8.7153,-18.7129,20.657
4.6440,-0.6648,-8.2359,-17.2759,19.150
4.6470,-0.8706,-8.1877,-15.4497,17.507
4.6490,-1.3188,-8.1334,-13.9968,16.242
4.6570,-1.7376,-7.8180,-13.7452,15.908
4.7500,-2.0130,-7.8463,-13.8496,16.045
4.7530,-1.9467,-7.9275,-14.0935,16.287
4.7570,-1.6040,-7.8091,-13.8086,15.945
4.7590,-1.3487,-7.8949,-13.4031,15.614
4.7630,-1.0280,-8.0516,-12.6686,15.046
4.7680,-0.6545,-8.0789,-11.7852,14.303
4.7710,0.0699,-8.3917,-10.7231,13.617
4.7740,0.1349,-8.1778,-10.1368,13.025
4.7790,-0.0138,-7.9626,-9.8803,12.689
4.7830,-0.3883,-7.6226,-9.6867,12.332
4.7870,-0.7459,-7.2658,-9.8228,12.241
4.7900,-0.7586,-6.7692,-9.8559,11.981
4.7930,-0.8540,-6.1881,-9.9079,11.713
4.7990,-0.7636,-5.6780,-10.0374,11.557
4.8370,-0.8286,-5.3347,-10.2557,11.590
4.8410,-0.9625,-4.9859,-9.5625,10.827
4.8440,-1.0102,-4.5714,-8.3707,9.591
4.8480,-1.1624,-4.0976,-6.8184,8.039
4.8520,-1.7051,-3.6429,-4.8814,6.325
4.8560,-2.4819,-3.3344,-2.4433,4.822
4.9490,-3.0398,-2.5485,-0.1631,3.970
4.9510,-2.2013,-0.8989,1.6606,2.900
4.9520,-0.5681,1.0690,1.4918,1.921
4.9530,0.1956,2.5697,-1.5223,2.993
4.9540,0.0703,3.2979,-4.7986,5.823
4.9550,-0.3448,3.8072,-3.5344,5.206
4.9560,1.1503,4.9290,4.6742,6.890
4.9580,2.8873,5.3650,10.0806,11.779
4.9590,2.0876,3.2812,9.9890,10.719
4.9600,0.1028,0.1716,9.9170,9.919
4.9960,3.2524,-2.3219,9.8756,10.653
4.9980,5.9109,-2.1817,9.8647,11.705
5.0000,5.7192,-1.1447,9.8861,11.478
5.0010,3.5302,1.7080,9.9136,10.661
5.0040,2.8034,4.0871,9.9535,11.119
5.0380,2.5224,6.6739,10.0169,12.298
5.0390,1.6931,7.6838,10.0922,12.797
5.0420,1.0145,7.3921,10.1653,12.610
5.0430,1.1234,5.2812,10.2190,11.558
5.0540,2.0245,4.0210,10.2673,11.211
5.0790,2.0261,2.6248,10.3037,10.824
5.0810,1.7639,1.2385,10.3287,10.551
5.0840,2.6710,1.0871,10.3652,10.759
5.1070,2.3093,0.3701,7.5194,7.875
5.1090,1.3770,-0.7850,3.5442,3.882
5.1480,0.3249,-1.9528,-0.6028,2.069
5.1490,-0.0032,-2.9672,-3.4064,4.517
5.1510,-0.8939,-4.0690,-5.8422,7.175
5.1530,-1.2837,-4.9754,-7.8759,9.404
5.1540,-1.2910,-5.5698,-9.7415,11.295
5.1630,-1.8210,-5.7155,-11.5290,12.996
5.1730,-1.7628,-5.8730,-12.6615,14.068
5.2020,-1.3064,-6.3589,-14.0124,15.443
5.2040,-1.5434,-7.0767,-14.6976,16.385
5.2060,-1.7837,-7.5201,-14.7103,16.617
5.2340,-2.1550,-7.5890,-14.7999,16.771
5.2360,-2.2326,-7.5426,-15.4460,17.334
5.2370,-2.6555,-7.6041,-15.7322,17.674
5.2430,-2.9694,-7.5978,-15.8094,17.790
5.2530,-3.1834,-7.4685,-15.5290,17.523
5.2710,-3.3343,-7.5021,-15.0104,17.109
5.2740,-3.2567,-7.4862,-14.3245,16.488
5.3220,-2.5267,-7.5465,-13.7375,15.876
5.3250,-2.3873,-7.6234,-12.6101,14.928
5.3270,-2.4047,-7.7237,-11.6141,14.154
5.3280,-2.5818,-7.9189,-10.8931,13.713
5.3300,-2.7920,-7.9958,-10.4271,13.433
5.3330,-3.1180,-8.0891,-10.2769,13.445
