time,ax,ay,az,aT
2.6630,0.9955,1.0348,0.0145,1.436
2.6700,1.2219,1.0547,0.7913,1.798
2.6800,1.3974,1.1063,1.5790,2.381
2.7160,1.6309,1.1970,2.1765,2.971
2.7180,1.6027,1.0562,2.2816,2.982
2.7200,1.4618,0.8169,2.4929,3.003
2.7220,1.3821,0.6362,2.5090,2.934
2.7640,1.1126,0.5441,2.7974,3.059
2.7660,0.7234,0.4114,3.6305,3.725
2.7670,0.2943,0.4174,4.7977,4.825
2.7680,0.1001,0.6159,5.6554,5.690
2.7700,0.1684,0.9515,6.1761,6.251
2.7800,0.2868,1.1256,6.3424,6.448
2.8150,0.2369,0.8567,6.1399,6.204
2.8170,0.1013,0.2403,5.5402,5.546
2.8180,-0.0142,-0.4547,4.4415,4.465
2.8200,0.0923,-0.9582,3.3577,3.493
2.8410,0.3930,-1.1974,2.3807,2.694
2.8430,0.7816,-1.2577,1.6044,2.183
2.8490,1.0488,-1.2629,1.1658,2.013
2.8610,1.1606,-1.2097,0.9007,1.903
2.8690,1.0429,-1.2267,0.6750,1.746
2.8790,0.7606,-1.2682,0.4543,1.547
2.9070,0.3866,-1.2469,0.2919,1.338
2.9090,0.0041,-1.2020,-0.0991,1.206
2.9100,-0.3045,-1.2045,-0.5926,1.376
2.9190,-0.4672,-1.2584,-1.1831,1.789
2.9410,-0.5144,-1.2722,-1.7566,2.229
2.9440,-0.5342,-1.3326,-2.2881,2.701
2.9500,-0.5641,-1.4463,-2.8809,3.273
2.9630,-0.6161,-1.6111,-3.4380,3.846
2.9680,-0.7637,-1.7472,-3.8747,4.318
2.9790,-0.9353,-1.8731,-4.2512,4.739
3.0150,-1.0235,-1.9111,-4.5986,5.084
3.0170,-1.0440,-1.9124,-4.8881,5.352
3.0180,-1.0733,-1.8752,-5.0568,5.499
3.0230,-1.1032,-1.8295,-5.1777,5.601
3.0350,-1.1351,-1.7789,-5.2367,5.646
3.0380,-1.2352,-1.6971,-5.2422,5.647
3.0490,-1.3301,-1.6046,-5.1419,5.548
3.0580,-1.4416,-1.4666,-4.9905,5.398
3.0680,-1.5480,-1.3662,-4.7496,5.179
3.0780,-1.6162,-1.3031,-4.4608,4.920
3.1000,-1.6119,-1.1668,-4.1364,4.590
3.1010,-1.4624,-1.0342,-3.8053,4.206
3.1420,-1.2584,-0.9142,-3.3779,3.719
3.1450,-1.0284,-0.7694,-2.8743,3.148
3.1460,-0.8484,-0.6583,-2.2345,2.479
